Sample Id,Supertype,Section.Label,Neurotransmitter.Type,Anatomical.Division,Cluster,Class,Anatomical.Structure,Subclass,Anatomical.Substructure
bb5a1268-6edd-4fe5-9559-a76ccffa162c,0857 SC Lef1 Otx2 Gaba_1,C57BL6J-638850.33,GABA,MB,3742 SC Lef1 Otx2 Gaba_1,20 MB GABA,NOT,208 SC Lef1 Otx2 Gaba,NOT
1753cae2-e852-462f-b43c-9b2e640fc49d,0868 SC Tnnt1 Gli3 Gaba_2,C57BL6J-638850.33,GABA,MB,3787 SC Tnnt1 Gli3 Gaba_2,20 MB GABA,NOT,211 SC Tnnt1 Gli3 Gaba,NOT
bfa13ecc-c907-4747-93e4-eb079c1ea55d,0873 SCsg Gabrr2 Gaba_2,C57BL6J-638850.33,GABA,MB,3810 SCsg Gabrr2 Gaba_2,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
64e2a040-0e5f-4280-a0de-a65e03bb3d28,0841 SC Otx2 Gcnt4 Gaba_1,C57BL6J-638850.33,GABA,MB,3671 SC Otx2 Gcnt4 Gaba_1,20 MB GABA,NOT,204 SC Otx2 Gcnt4 Gaba,NOT
046f621a-d0f6-42d9-acde-b9beccd0c3d1,0864 PRT Mecom Gaba_1,C57BL6J-638850.33,GABA-Glyc,MB,3767 PRT Mecom Gaba_1,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
7c4bec54-a741-40bd-893d-44a21263784e,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3797 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
18806e10-fb60-490a-869d-aeaa805d9580,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3608 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
4e93d048-dc05-415b-acc2-13ecdfb8e9f8,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3804 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
44ec2cea-8b49-4326-9dc6-129755c43102,0841 SC Otx2 Gcnt4 Gaba_1,C57BL6J-638850.33,GABA,MB,3671 SC Otx2 Gcnt4 Gaba_1,20 MB GABA,NOT,204 SC Otx2 Gcnt4 Gaba,NOT
5c01ee1c-39fb-4632-a97d-0c8e7ecaa1fd,0853 SCs Dmbx1 Gaba_2,C57BL6J-638850.33,GABA,MB,3731 SCs Dmbx1 Gaba_2,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
f7519316-6b89-43ac-affa-e347b1dd2df8,0876 SCsg Gabrr2 Gaba_5,C57BL6J-638850.33,GABA,MB,3827 SCsg Gabrr2 Gaba_5,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
59a1b098-d9e0-453b-b98f-8c6baf6acad6,0864 PRT Mecom Gaba_1,C57BL6J-638850.33,GABA-Glyc,MB,3764 PRT Mecom Gaba_1,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
5329282c-9b11-4953-aab7-8ab7e21c69e2,0852 SCs Dmbx1 Gaba_1,C57BL6J-638850.33,GABA,MB,3726 SCs Dmbx1 Gaba_1,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
4b9ee02b-9e4b-4c50-b4cc-00eee1582d44,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3797 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
f4eae1c1-fc44-42f8-a43e-d96cfd8c6f2a,0856 SCs Dmbx1 Gaba_5,C57BL6J-638850.33,GABA,MB,3740 SCs Dmbx1 Gaba_5,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
129af43a-38f9-465d-8802-375b20a37578,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3799 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
3901fa43-b01a-4396-b0f5-2eee7bf6fb41,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3612 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
34789d90-160c-4043-be44-ddd60872a59e,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3804 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
8eb1ea90-55f6-4c06-9f91-67511f2373c2,0852 SCs Dmbx1 Gaba_1,C57BL6J-638850.33,GABA,MB,3722 SCs Dmbx1 Gaba_1,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
2d33bc6f-efd5-4fc5-ab59-e7ccc3b627d8,0875 SCsg Gabrr2 Gaba_4,C57BL6J-638850.33,GABA,MB,3824 SCsg Gabrr2 Gaba_4,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
c1879d26-c1cd-4421-b14c-dd9304397d9a,0861 SCs Pax7 Nfia Gaba_3,C57BL6J-638850.33,GABA,MB,3756 SCs Pax7 Nfia Gaba_3,20 MB GABA,NOT,209 SCs Pax7 Nfia Gaba,NOT
45a35f76-028e-46d5-a344-2d30ce9fc25f,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3799 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
deb9494d-e1f1-4cde-869c-fbc32e4c9200,0860 SCs Pax7 Nfia Gaba_2,C57BL6J-638850.33,GABA,MB,3753 SCs Pax7 Nfia Gaba_2,20 MB GABA,NOT,209 SCs Pax7 Nfia Gaba,NOT
3c119584-43ca-4761-ad64-19e1616ba403,0866 PRT Mecom Gaba_3,C57BL6J-638850.33,GABA-Glyc,MB,3774 PRT Mecom Gaba_3,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
5dbb03bd-19be-4d39-bb81-c29a3dc9412a,0864 PRT Mecom Gaba_1,C57BL6J-638850.33,GABA-Glyc,MB,3767 PRT Mecom Gaba_1,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
7c255b86-c004-4016-8847-ec1f1022d40c,0855 SCs Dmbx1 Gaba_4,C57BL6J-638850.33,GABA,MB,3739 SCs Dmbx1 Gaba_4,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
016c3809-6679-4a1b-b89c-61a046d2df4e,0875 SCsg Gabrr2 Gaba_4,C57BL6J-638850.33,GABA,MB,3824 SCsg Gabrr2 Gaba_4,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
96f54966-9b1c-49ff-b1cd-4d43d5de19bb,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3799 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
deb5f799-0fcb-46de-924c-41b0c92c7156,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3608 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
8bd898d5-df63-40ee-9384-115cc11b64bb,0870 SCs Lef1 Gli3 Gaba_2,C57BL6J-638850.33,GABA,MB,3794 SCs Lef1 Gli3 Gaba_2,20 MB GABA,NOT,212 SCs Lef1 Gli3 Gaba,NOT
24ea190a-d738-4340-848a-3fc3f0194893,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3797 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
bd2be459-df51-477d-87be-f0c88d29585d,0866 PRT Mecom Gaba_3,C57BL6J-638850.33,GABA-Glyc,MB,3774 PRT Mecom Gaba_3,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
