Sample Id,Supertype,Section Label,Neurotransmitter Type,Anatomical Division,Cluster,Class,Anatomical Structure,Subclass,Anatomical Substructure
b4e05f3a-6b66-45f9-9224-cdd3bc342635,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
a99fb585-926a-4f05-89ca-43a5a353141b,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
50cbcaf2-fd36-43a7-a964-a85677056f0d,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3368 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
33d50f63-ebb4-45c2-a174-d3e6b5fbf3ef,0785 SCsg Pde5a Glut_1,C57BL6J-638850.32,Glut,MB,3361 SCsg Pde5a Glut_1,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
ce1d58c1-5e27-4b4c-95ca-367d2866b077,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3370 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
c44d8c84-6556-4437-9a30-ff24e0a0a02f,0756 SC Bnc2 Glut_1,C57BL6J-638850.32,Glut,MB,3203 SC Bnc2 Glut_1,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
a1133cd5-b369-489f-b79c-9859de71eef2,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
ec447839-072f-4b18-a08b-f0c70c72fb63,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
c0735a61-4f0d-4a4b-9d0a-9b87a4c4cb9e,0783 SCig Tfap2b Chrnb3 Glut_1,C57BL6J-638850.32,Glut,MB,3354 SCig Tfap2b Chrnb3 Glut_1,19 MB Glut,SCs,185 SCig Tfap2b Chrnb3 Glut,SCop
75d9d418-62ff-43ef-8d6b-2fce29d7c0e2,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
b81ccc7c-6398-42ce-bbd7-b1f9e0e7b625,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
67ceb706-c799-47b4-90f2-0a5ff12cdb47,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3208 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
339eda42-8bc3-4377-a11a-632017d09556,0783 SCig Tfap2b Chrnb3 Glut_1,C57BL6J-638850.32,Glut,MB,3354 SCig Tfap2b Chrnb3 Glut_1,19 MB Glut,SCs,185 SCig Tfap2b Chrnb3 Glut,SCop
8d19b9fd-4975-422f-bc20-11bea8cc6fb2,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3208 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
f5d5a49e-77a7-44c2-ae5f-d558534fa074,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3208 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
02da0087-b1b8-46cc-9b24-e2acbc260679,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3207 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
9cb8cab0-314a-46e2-bf6a-a3010517c58b,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3370 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
463a2c8c-4633-4825-b9f2-3bff219c9bd5,0756 SC Bnc2 Glut_1,C57BL6J-638850.32,Glut,MB,3203 SC Bnc2 Glut_1,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
22d2600e-200d-4e20-9b6d-b14a2e30a49d,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3363 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
a618046b-41d9-4296-bb94-6c56b63129d0,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
36d6117b-2afd-4d0c-a51b-7c68d13197e1,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3370 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
27f3985e-f980-4f18-af25-80d7ea6284a4,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3208 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
8c27745c-2944-402e-947b-bb8beccfeaf3,0758 SC Bnc2 Glut_3,C57BL6J-638850.32,Glut,MB,3208 SC Bnc2 Glut_3,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
994e642d-6595-4bf9-9c6f-87df967b98bd,0786 SCsg Pde5a Glut_2,C57BL6J-638850.32,Glut,MB,3365 SCsg Pde5a Glut_2,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
0506e6b3-32f5-43f3-a5b7-4b1fbaf1abab,0783 SCig Tfap2b Chrnb3 Glut_1,C57BL6J-638850.32,Glut,MB,3355 SCig Tfap2b Chrnb3 Glut_1,19 MB Glut,SCs,185 SCig Tfap2b Chrnb3 Glut,SCop
37b7ca0f-0d0c-403a-99cb-0258dc0df840,0760 SCig Foxb1 Glut_1,C57BL6J-638850.32,Glut,MB,3218 SCig Foxb1 Glut_1,19 MB Glut,SCs,176 SCig Foxb1 Glut,SCop
a6884429-2366-498a-940e-422e29e19048,0756 SC Bnc2 Glut_1,C57BL6J-638850.32,Glut,MB,3203 SC Bnc2 Glut_1,19 MB Glut,SCs,175 SC Bnc2 Glut,SCop
86f0e0aa-ec27-4ad7-87e2-0708c1cd6bf4,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3376 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
8634e54f-9be2-4201-8560-7edea900668b,0761 SCig Foxb1 Glut_2,C57BL6J-638850.32,Glut,MB,3222 SCig Foxb1 Glut_2,19 MB Glut,SCs,176 SCig Foxb1 Glut,SCop
dcd47efc-8cf6-4ca7-8e9c-71a3592f2731,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3377 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
93b7a0ac-994f-4d85-81ce-d4cfd5c79bc6,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
0e19adf8-0cc3-4e40-8dc8-605d867c50ad,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3358 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
b4990b04-d5f1-4e6d-96b2-73b228f2a88c,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
2024cea9-2e03-4c41-a2d0-81d7e8a5acfe,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3381 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
9eb18546-44b6-4623-997b-9701118b6244,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3381 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
90f3803c-7062-4d17-a12e-2bf472b45bb4,0760 SCig Foxb1 Glut_1,C57BL6J-638850.32,Glut,MB,3218 SCig Foxb1 Glut_1,19 MB Glut,SCs,176 SCig Foxb1 Glut,SCop
255b248a-d627-49d3-8426-6c96c5a47f91,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
35184bce-977c-47cd-b6dc-ce66bd93d843,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3366 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
d1c5320b-e4e5-45ec-bcad-3972e645a243,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3377 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
ff4cdb8d-aeac-4ddb-b522-09dede69c2d8,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3377 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
7fef4bec-a1ec-419d-9aae-975ba5366c86,0760 SCig Foxb1 Glut_1,C57BL6J-638850.32,Glut,MB,3218 SCig Foxb1 Glut_1,19 MB Glut,SCs,176 SCig Foxb1 Glut,SCop
d344ebad-0b4d-4be4-ab1c-c1dba3b068a9,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3373 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
cb5f8c10-29dc-4644-bd2a-560d7e9177ab,0787 SCsg Pde5a Glut_3,C57BL6J-638850.32,Glut,MB,3366 SCsg Pde5a Glut_3,19 MB Glut,SCs,187 SCsg Pde5a Glut,SCop
b272ba3c-2ec6-4601-adb8-764c07c53492,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
364ca1ae-906f-4416-a934-9c587a553e45,0784 SCop Pou4f2 Neurod2 Glut_1,C57BL6J-638850.32,Glut,MB,3360 SCop Pou4f2 Neurod2 Glut_1,19 MB Glut,SCs,186 SCop Pou4f2 Neurod2 Glut,SCop
d274f6d3-d5e0-4989-a59e-fe003d0f8843,0788 SCop Sln Glut_1,C57BL6J-638850.32,Glut,MB,3381 SCop Sln Glut_1,19 MB Glut,SCs,188 SCop Sln Glut,SCop
